lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
54.86,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,19.76,C2,6.08254,3.38849,3.94849,3.78917,7205,42.33
54.88,-102.42,2017-09-12 01:19:00,NOAA,AVHRR,19.096,C2,5.80445,3.34634,3.89034,3.76013,6774,42.33
54.96,-102.7,2017-09-12 01:19:00,NOAA,AVHRR,23.161,C2,7.28306,3.69114,4.31514,4.08896,9428,42.33
55.16,-103.08,2017-09-12 01:19:00,NOAA,AVHRR,25.154,C1,0.662476,1.31797,1.31797,4.28993,262,42.33
50.62,-110.56,2017-09-12 01:19:00,NOAA,AVHRR,55.07,O1,32.3902,0.35,0.35,0.382424,3401,32.43
50.61,-110.62,2017-09-12 01:19:00,NOAA,AVHRR,54.718,O1,39.764,0.35,0.35,0.381993,4175,32.43
50.59,-110.69,2017-09-12 01:19:00,NOAA,AVHRR,54.258,O1,45.6483,0.35,0.35,0.382775,4793,32.43
50.61,-110.64,2017-09-12 01:19:00,NOAA,AVHRR,54.605,O1,41.8698,0.35,0.35,0.380413,4396,32.43
50.61,-110.65,2017-09-12 01:19:00,NOAA,AVHRR,54.571,O1,39.6172,0.35,0.35,0.380676,4160,32.43
50.61,-110.66,2017-09-12 01:19:00,NOAA,AVHRR,54.547,O1,39.5683,0.35,0.35,0.381425,4155,32.43
50.6,-110.68,2017-09-12 01:19:00,NOAA,AVHRR,54.353,O1,51.3355,0.35,0.35,0.380522,5390,32.43
50.62,-110.68,2017-09-12 01:19:00,NOAA,AVHRR,54.57,O1,28.6071,0.35,0.35,0.38098,3004,32.43
50.62,-110.69,2017-09-12 01:19:00,NOAA,AVHRR,54.507,O1,29.6707,0.35,0.35,0.380044,3115,32.43
50.62,-110.7,2017-09-12 01:19:00,NOAA,AVHRR,54.475,O1,42.8073,0.35,0.35,0.380311,4495,32.43
54.79,-102.46,2017-09-12 01:19:00,NOAA,AVHRR,20.161,C2,6.38042,3.36747,3.94347,3.76029,7548,42.33
54.69,-102.66,2017-09-12 01:19:00,NOAA,AVHRR,23.273,C1,0.604826,1.3371,1.3371,3.90301,243,42.33
49.86,-115.32,2017-09-12 01:19:00,NOAA,AVHRR,38.426,D1,2.98919,1.41013,1.41013,4.49538,1265,9.94
54.68,-102.67,2017-09-12 01:19:00,NOAA,AVHRR,23.36,C1,0.61761,1.33859,1.33859,3.90027,248,42.33
54.76,-102.62,2017-09-12 01:19:00,NOAA,AVHRR,22.667,O1,1.29842,0.35,0.35,0.273791,136,41.88
54.69,-102.65,2017-09-12 01:19:00,NOAA,AVHRR,22.931,C1,0.594005,1.33607,1.33607,3.86606,238,42.33
54.77,-102.57,2017-09-12 01:19:00,NOAA,AVHRR,21.668,C2,7.03609,3.46188,4.06988,3.83926,8591,42.33
54.87,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,19.69,M1,3.15882,2.35321,2.35321,3.79182,2230,39.92
54.8,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,20.154,C2,6.30403,3.39339,3.96139,3.77952,7492,42.33
55.48,-103.53,2017-09-12 01:19:00,NOAA,AVHRR,21.469,C2,6.95805,3.44647,4.04647,4.03257,8447,42.33
55.47,-103.5,2017-09-12 01:19:00,NOAA,AVHRR,21.596,C2,6.92076,3.48547,4.08547,4.05638,8482,42.33
55.49,-103.52,2017-09-12 01:19:00,NOAA,AVHRR,21.272,C2,6.80705,3.45592,4.05592,4.03279,8283,42.33
55.28,-103.26,2017-09-12 01:19:00,NOAA,AVHRR,23.579,C2,7.55318,3.68747,4.31947,4.21751,9788,42.33
50.62,-110.61,2017-09-12 01:19:00,NOAA,AVHRR,54.8,O1,32.1936,0.35,0.35,0.379047,3380,32.43
50.64,-110.53,2017-09-12 01:19:00,NOAA,AVHRR,55.478,O1,30.4963,0.35,0.35,0.386663,3202,32.43
50.64,-110.51,2017-09-12 01:19:00,NOAA,AVHRR,55.614,O1,33.9678,0.35,0.35,0.389536,3567,32.43
50.65,-110.47,2017-09-12 01:19:00,NOAA,AVHRR,56.112,O1,39.1364,0.35,0.35,0.385957,4109,32.43
50.65,-110.46,2017-09-12 01:19:00,NOAA,AVHRR,56.137,O1,39.1913,0.35,0.35,0.384951,4115,32.43
50.65,-110.45,2017-09-12 01:19:00,NOAA,AVHRR,56.18,O1,45.0203,0.35,0.35,0.384708,4727,32.43
51.73,-95.05,2017-09-12 01:19:00,NOAA,AVHRR,17.082,O1,0.863386,0.35,0.35,0.240498,91,30.21
51.73,-94.99,2017-09-12 01:19:00,NOAA,AVHRR,16.815,O1,0.515206,0.35,0.35,0.228558,54,30.21
55.33,-102.76,2017-09-12 01:19:00,NOAA,AVHRR,17.651,C2,4.56937,3.54918,4.01318,4.03464,5501,42.33
